"nombre_pelicula";"director";"id_actor";"salario"
Decentralized asymmetric throughput;David Thomas;4520;96565.54
Exclusive disintermediate moratorium;Joshua Chen;4992;13405.7
Synergized 6thgeneration implementation;Andrew Davis;4442;92507.64
Multi-tiered real-time forecast;Tina Fleming;4389;74056.66
Multi-channeled next generation help-desk;Claudia Cain;4430;71470.87
Grass-roots uniform algorithm;Anthony Johnson;4519;3326.23
Triple-buffered mobile time-frame;Mrs. Katherine Diaz MD;4293;82468.78
Up-sized dynamic policy;Alexander Velez;4395;36416.44
Pre-emptive discrete conglomeration;Sandra Nguyen;4532;37961.79
Vision-oriented object-oriented product;Travis Houston;4126;26346.34
Adaptive methodical frame;Tommy Chen;4765;48483.66
Pre-emptive composite contingency;Christopher Terry;4287;54562.82
Secured maximized product;Vincent Bradford;4631;13413.64
Automated context-sensitive ability;Douglas Moore;4725;49332.19
De-engineered regional frame;Carol Dillon;4400;246.85
Grass-roots bottom-line knowledge user;Michelle Evans;4388;9121.68
Open-architected system-worthy monitoring;Sherri Oliver;4668;54045.28
Quality-focused non-volatile Local Area Network;Kenneth Smith;4304;42140.3
Phased exuding ability;Diamond Lyons;4755;78696.31
Quality-focused 24hour hub;Austin Chung;4316;97612.4
Face-to-face bi-directional complexity;Nicholas David;4482;91836.92
Robust heuristic policy;Patrick Johnson;4433;99108.34
Multi-channeled next generation help-desk;Claudia Cain;4428;84866.23
Right-sized real-time support;Kevin Parrish;4491;36427.46
Cross-group asynchronous software;Daniel Rodriguez;4162;83816.7
Monitored needs-based artificial intelligence;Richard Ramirez;4486;66091.63
Realigned even-keeled orchestration;Mary Tran;4107;46478.3
Mandatory intangible function;Traci Edwards;4297;45552.51
Phased multi-tasking throughput;Megan Liu;4573;7141.66
Reduced coherent system engine;Sherry Edwards;4513;5009.44
Multi-channeled zero administration success;John Hudson;4011;27643.95
Progressive background capacity;Shawn Fitzgerald;4479;31856.2
Compatible 24/7 toolset;Shawn Cross;4933;49558.16
Re-engineered zero tolerance monitoring;Daniel Brown;4362;34207.59
Ergonomic dynamic protocol;Paul Porter;4954;17898.58
Programmable neutral secured line;Mariah Simmons;4676;94029.1
Upgradable bandwidth-monitored process improvement;Ronald Fowler;4663;89783.83
Public-key incremental alliance;Mark Fisher;4613;72143.39
Multi-layered interactive policy;Alvin Rivera;4705;68629.72
Right-sized clear-thinking task-force;David Ingram;4179;56424.72
Persevering secondary secured line;Paul Kelley;4952;37454.94
Progressive uniform solution;Kyle Taylor;4188;2572.39
Customer-focused high-level complexity;Julie Lloyd;4911;12713.64
De-engineered leadingedge alliance;Timothy Martin;4199;26584.66
Digitized tertiary access;Yolanda Cardenas;4697;21659.74
Automated background knowledgebase;Cody Macias;4505;25737.89
Synergistic optimizing ability;Jesse Randolph;4776;50916.6
Extended background moratorium;Yolanda Stevens;4187;77446.24
Synergistic analyzing info-mediaries;Tracy Miranda;4597;17014.27
Function-based value-added product;Karla Bell;4191;69783.17
Self-enabling client-server alliance;Michelle Jacobs;4660;70444.17
Front-line attitude-oriented architecture;Brooke Silva;4899;31062.75
Exclusive motivating methodology;Anita Ruiz;4529;1275.7
Optional mobile array;Sandra Bridges;4260;53110.55
Re-engineered composite secured line;Amanda Bradford;4576;20231.59
Versatile directional pricing structure;Joshua Ramirez;4282;74589.0
Centralized static challenge;Robert Livingston;4069;90500.39
Mandatory full-range monitoring;Tyler Dean;4347;60678.92
Optimized actuating website;Joshua Rios;4050;42159.21
Persistent motivating firmware;Scott Smith;4486;3211.64
Self-enabling foreground pricing structure;Charles Thomas;4211;54610.4
Virtual content-based encryption;Sarah Ochoa;4384;97272.6
Re-engineered composite concept;Julian Avery;4660;60938.43
Sharable didactic groupware;Katherine Bell;4680;50556.63
Down-sized fault-tolerant orchestration;Mary Brown;4585;72750.38
Enhanced empowering artificial intelligence;Joseph Clark;4760;76703.92
Re-contextualized user-facing encoding;Michael Briggs;4187;55983.83
Profit-focused zero administration hardware;Joseph Romero;4745;62310.49
Intuitive motivating product;Roy Gardner;4220;77241.85
