nombre_pelicula;director;id_sala;id_cine;ts;precio
Open-source multimedia support;Nancy Mccall;451;592;2022-11-02 00:39:28.000;4000
Stand-alone disintermediate project;Kevin Hernandez;137;803;2023-03-22 09:13:07.000;10000
Devolved 5thgeneration installation;Diana Strickland;297;575;2024-04-06 04:38:30.000;6000
Phased coherent utilization;Tammy Reid;618;68;2023-01-17 00:51:10.000;10000
Optimized zero tolerance process improvement;Lee Kelly;758;917;2024-01-13 23:38:36.000;4000
Sharable explicit hierarchy;Kim Shaw;679;900;2022-12-07 10:22:27.000;4000
Synchronized multi-state leverage;Mrs. Sarah Rodriguez DDS;790;989;2024-04-03 07:40:58.000;6000
Monitored even-keeled methodology;Gabrielle Herman;899;581;2024-01-27 22:33:38.000;6000
Streamlined well-modulated implementation;Daniel Berg;406;639;2022-10-08 17:20:33.000;6000
Reduced disintermediate data-warehouse;Jeffrey Medina;158;731;2023-10-04 14:24:56.000;4000
Adaptive next generation support;Bryce Carr;459;882;2024-06-19 00:13:15.000;6000
Advanced uniform initiative;Christopher Green;537;907;2023-01-15 12:11:25.000;6000
Reactive homogeneous budgetary management;Kaitlin Hill;775;148;2023-03-14 01:59:14.000;4000
Triple-buffered foreground groupware;Cameron Christian;973;804;2022-10-20 03:23:29.000;4000
Distributed optimal system engine;Shannon Marsh;430;936;2023-07-23 15:34:44.000;6000
Multi-tiered solution-oriented toolset;Kari Wilson;966;619;2023-11-11 18:58:26.000;6000
Synergized even-keeled orchestration;Miranda Bailey;58;689;2023-11-09 07:58:23.000;6000
Right-sized real-time database;Timothy Blankenship;281;873;2022-10-31 00:58:51.000;10000
Realigned encompassing infrastructure;Alex Anderson;740;277;2023-01-12 04:32:31.000;6000
Universal coherent standardization;Kelly Ruiz;401;327;2024-03-06 00:54:38.000;4000
Right-sized composite installation;Caroline Christian;203;658;2022-08-18 09:18:01.000;4000
Quality-focused uniform workforce;Gary Owens;362;492;2023-07-23 22:23:30.000;6000
Public-key content-based complexity;Alicia Davenport;573;420;2022-12-31 17:04:20.000;4000
Robust secondary capacity;Amy Warner;147;361;2022-08-29 05:03:37.000;6000
Enhanced reciprocal throughput;Michael Khan;855;793;2022-11-15 00:43:24.000;6000
Ameliorated client-server functionalities;Shelley Chandler;422;885;2023-01-25 07:27:14.000;4000
Assimilated regional concept;Aaron Harrison;649;914;2024-03-24 05:27:55.000;4000
Right-sized heuristic conglomeration;Scott Walker;560;983;2022-07-24 18:15:16.000;6000
Object-based incremental infrastructure;Jennifer Garrett;874;475;2022-08-28 20:07:08.000;4000
Cloned eco-centric analyzer;Marcus Ross;574;851;2022-07-02 05:43:46.000;6000
Team-oriented responsive info-mediaries;David Livingston;923;954;2024-02-10 16:26:18.000;6000
Cross-platform clear-thinking knowledgebase;Jennifer Morales;971;994;2022-08-05 22:26:16.000;4000
Open-source neutral service-desk;Lauren Ray;160;264;2023-01-03 00:18:24.000;10000
Digitized mobile project;Lucas Simmons;47;11;2023-08-25 10:15:37.000;10000
Implemented demand-driven Graphic Interface;Johnathan Martin;487;936;2024-04-30 00:51:04.000;10000
Profit-focused attitude-oriented matrix;Amy Bailey;955;50;2024-02-05 14:32:48.000;10000
Optimized bandwidth-monitored budgetary management;Joseph Johns;737;742;2023-10-19 06:38:52.000;4000
Down-sized coherent solution;Michael Ray;246;681;2023-11-01 19:42:54.000;10000
Quality-focused user-facing Internet solution;Christopher Hogan;482;936;2023-02-09 14:34:06.000;10000
Ameliorated stable service-desk;Michael Robinson;552;875;2023-06-29 00:29:17.000;10000
Triple-buffered systemic utilization;Mark Castaneda;155;725;2023-05-14 08:07:28.000;6000
Public-key optimal adapter;Ronald Phillips;366;843;2024-06-26 19:39:44.000;10000
Centralized zero administration project;Sean Oliver;121;244;2022-11-15 02:31:01.000;4000
Reverse-engineered empowering budgetary management;Sarah Townsend;72;967;2024-03-29 07:06:14.000;4000
Operative hybrid Local Area Network;Patricia Smith;72;804;2024-06-02 13:37:35.000;6000
Automated bifurcated pricing structure;Andrea Delgado;797;557;2023-10-17 04:17:45.000;10000
Reduced needs-based attitude;Maurice Miller;60;251;2023-07-28 20:40:51.000;6000
Quality-focused 6thgeneration superstructure;Tom Watson;164;677;2023-05-01 10:23:41.000;6000
Vision-oriented scalable success;Kimberly Garcia;480;317;2023-01-07 19:11:49.000;4000
Innovative composite moratorium;Michael Jordan;911;743;2022-10-01 01:41:01.000;10000
Switchable explicit capacity;Patricia Jones;137;803;2023-11-08 00:19:24.000;10000
Proactive object-oriented customer loyalty;Craig Williams;203;733;2023-03-05 23:18:09.000;6000
Expanded zero-defect database;Nancy Dennis;81;240;2022-07-03 18:47:15.000;10000
User-centric even-keeled workforce;Linda Howell;741;222;2024-05-16 12:15:58.000;10000
Multi-channeled static approach;Paula Ramirez;333;192;2023-08-02 04:07:04.000;6000
Digitized didactic customer loyalty;Dr. Trevor Silva;347;369;2023-12-14 07:28:33.000;10000
Team-oriented fresh-thinking productivity;Christine James;139;455;2024-01-01 07:40:48.000;6000
Object-based national framework;Sarah Stewart;770;910;2023-07-11 13:45:26.000;10000
Focused dynamic orchestration;Samantha Cardenas;531;83;2023-08-07 18:09:11.000;4000
Ergonomic value-added matrices;Carla Johnson;713;528;2024-04-30 04:31:49.000;6000
Enterprise-wide client-server time-frame;Keith Adams;557;801;2023-08-10 14:18:57.000;10000
Operative tangible focus group;Amanda Edwards;871;55;2022-10-14 08:57:17.000;6000
Switchable methodical emulation;Jill Wong;602;993;2023-06-26 14:19:36.000;6000
Multi-tiered 6thgeneration approach;David Williams;65;760;2024-02-22 02:30:17.000;4000
Phased coherent utilization;Tammy Reid;173;830;2023-10-05 19:42:24.000;4000
Ergonomic value-added open system;Candace Whitaker;685;395;2024-04-28 18:21:51.000;6000
Upgradable contextually-based strategy;Austin Webster;324;680;2024-04-08 03:08:19.000;6000
Secured cohesive standardization;Jose Mccoy;911;743;2024-01-21 10:50:40.000;6000
Function-based background extranet;Laurie David;766;896;2023-11-09 04:20:27.000;10000
Up-sized system-worthy time-frame;Alison Perez;493;602;2022-08-15 14:41:30.000;4000
Optimized actuating archive;Barbara Johnson;440;659;2023-06-20 21:38:00.000;4000
Fundamental context-sensitive customer loyalty;Melanie Ortiz;918;695;2022-07-11 06:00:57.000;10000
Vision-oriented high-level frame;Karen Montoya;677;272;2024-01-20 00:24:06.000;4000
Innovative systemic algorithm;Earl Green;28;938;2022-07-28 00:13:45.000;10000
Enhanced real-time software;Anthony Bailey;623;867;2023-02-06 01:39:12.000;6000
Operative fresh-thinking frame;Lance Mcintyre;790;989;2023-10-19 07:18:14.000;6000
Expanded clear-thinking structure;James Parker;578;850;2022-09-02 23:32:02.000;6000
Adaptive asynchronous support;Jessica Ramos;914;660;2022-08-23 09:24:06.000;6000
Distributed bifurcated hardware;Kimberly Mills;642;994;2024-03-09 21:04:09.000;10000
Re-contextualized didactic throughput;Christopher Moore;3;782;2024-05-29 01:22:07.000;6000
Mandatory actuating intranet;Chelsea Beard;18;650;2023-11-16 06:28:59.000;10000
Synergistic regional functionalities;Samantha Frost;577;963;2024-06-26 17:37:55.000;4000
Decentralized global architecture;James Parker;874;475;2022-10-29 01:12:21.000;4000
Total foreground implementation;Mary Simpson;80;268;2024-04-15 17:02:25.000;6000
Ameliorated tertiary info-mediaries;Thomas Herring;963;648;2023-02-02 11:38:19.000;4000
Monitored incremental workforce;Jacob Avila;810;887;2022-10-21 15:52:26.000;6000
Versatile optimizing paradigm;Lisa Weeks;641;403;2022-08-19 02:19:37.000;4000
Reduced transitional ability;Eric Blackburn;330;251;2023-04-19 07:19:34.000;10000
Profound static installation;Daniel Smith;886;860;2024-02-05 10:00:32.000;6000
Exclusive methodical throughput;Mrs. Rachel Smith;236;526;2022-08-27 21:02:58.000;10000
Devolved intangible website;Daniel Dixon;925;959;2022-12-19 17:39:48.000;6000
Synergistic grid-enabled definition;Lisa Parsons;569;57;2023-06-18 11:04:42.000;4000
Ergonomic system-worthy website;Troy Wang;375;616;2023-06-15 17:19:55.000;10000
Optimized logistical support;Elizabeth Crane;824;695;2022-10-05 14:03:16.000;10000
Reduced eco-centric infrastructure;Justin Bowman;848;531;2024-01-02 20:14:10.000;4000
Customer-focused non-volatile attitude;Thomas Parker;692;5;2024-01-21 05:44:55.000;6000
Persistent object-oriented hierarchy;Samuel Meza;956;797;2023-10-18 05:51:19.000;10000
Polarized optimizing system engine;John Turner;106;980;2023-06-05 20:45:25.000;4000
Customer-focused global algorithm;Carol Mendoza;337;957;2024-04-14 21:23:54.000;6000
Multi-tiered 3rdgeneration frame;Brad Gomez;871;771;2023-11-22 11:11:47.000;6000
Intuitive secondary functionalities;Cristian Atkins;336;40;2023-05-31 02:17:37.000;6000
Enterprise-wide object-oriented website;Danielle Black;634;919;2024-01-16 11:37:38.000;10000
Ergonomic client-server info-mediaries;Summer Wagner;100;901;2022-10-03 07:55:55.000;10000
Adaptive asynchronous support;Jessica Ramos;758;487;2024-02-19 16:08:08.000;4000
Proactive high-level flexibility;Dr. Thomas Gomez MD;590;261;2022-08-28 07:52:20.000;4000
De-engineered solution-oriented database;David Oconnell;269;642;2024-05-30 22:01:07.000;4000
Proactive foreground strategy;Kylie Roberts;95;806;2024-01-03 07:38:28.000;10000
Exclusive eco-centric customer loyalty;Brian Roth;650;564;2023-07-02 08:13:21.000;6000
Face-to-face needs-based approach;Christy Martinez;394;962;2024-02-10 04:00:02.000;10000
Compatible zero-defect protocol;Michael Hicks;880;642;2023-11-14 18:03:02.000;10000
Diverse systematic intranet;Ashley Baker;398;343;2023-01-17 08:39:52.000;10000
Business-focused context-sensitive strategy;Christina Cruz;817;794;2023-02-14 10:19:42.000;6000
Synergized system-worthy model;Brady Collins;809;484;2024-01-19 19:32:03.000;6000
Profit-focused context-sensitive encryption;Elizabeth Davila MD;532;307;2023-04-01 08:29:23.000;6000
Mandatory didactic help-desk;Karen Willis;305;158;2022-08-21 22:38:57.000;10000
Implemented leadingedge benchmark;Aaron Carlson;706;825;2023-12-20 00:39:38.000;4000
Diverse scalable Local Area Network;Russell Smith;993;670;2024-04-13 02:35:35.000;4000
Customizable 3rdgeneration matrix;Barry Cowan;651;674;2022-09-23 01:19:32.000;6000
Switchable high-level encoding;Theresa Rice;271;47;2023-09-05 21:08:03.000;10000
Realigned cohesive definition;Wesley Wilson;639;701;2022-11-07 05:28:38.000;6000
Operative logistical portal;Tammy Aguilar;324;223;2022-10-16 23:39:54.000;6000
Progressive value-added installation;Lindsey Barr;417;957;2023-07-12 21:56:54.000;4000
Public-key foreground open system;Brett Hogan;361;817;2023-02-18 17:01:18.000;4000
Future-proofed demand-driven productivity;Joseph Gentry DDS;199;496;2023-03-14 21:57:53.000;6000
Fundamental context-sensitive customer loyalty;Melanie Ortiz;22;657;2022-11-11 18:23:15.000;4000
Secured holistic toolset;Stephanie Bryan DDS;163;496;2023-05-12 02:36:08.000;4000
Face-to-face static extranet;Tina Santos;385;963;2024-06-22 03:58:55.000;4000
Compatible dynamic functionalities;Megan Jacobson;368;338;2023-05-12 22:24:27.000;6000
Enterprise-wide next generation frame;Karen Miranda;558;700;2023-05-02 00:47:20.000;6000
Organic bandwidth-monitored product;Rebecca Harper;557;801;2023-11-06 10:12:36.000;10000
Function-based dynamic framework;Kathryn Austin;734;21;2023-06-05 05:14:19.000;10000
Inverse methodical superstructure;Jacob Harris;891;588;2023-05-17 13:07:11.000;4000
Sharable next generation emulation;Carl Barrera;439;618;2023-08-25 09:03:13.000;10000
Customer-focused non-volatile attitude;Thomas Parker;461;349;2022-09-10 04:09:36.000;10000
Optimized grid-enabled help-desk;Shannon Doyle;552;748;2024-01-18 23:32:07.000;10000
User-friendly eco-centric leverage;Donald Morris;451;592;2024-03-05 10:07:39.000;6000
Open-architected needs-based attitude;Roger Castillo;552;366;2022-08-04 06:57:40.000;4000
User-centric even-keeled initiative;Melissa Green;32;587;2024-05-19 01:01:16.000;4000
Organized coherent synergy;Mark Snyder;258;442;2022-10-29 21:39:50.000;6000
Enterprise-wide client-server time-frame;Keith Adams;619;209;2023-05-22 23:22:21.000;10000
Focused responsive project;Christopher Mayo;185;451;2023-12-24 19:11:40.000;6000
Face-to-face needs-based approach;Christy Martinez;475;133;2023-03-18 21:24:41.000;10000
Synergistic client-driven instruction set;Ronald Navarro;421;385;2023-11-17 19:52:24.000;6000
Distributed zero tolerance focus group;Justin Bridges;957;504;2022-08-04 23:50:03.000;6000
Integrated optimal core;Stacey Meza;816;532;2023-12-23 03:17:48.000;10000
Devolved optimizing initiative;Stephen Wu;461;349;2023-05-03 03:45:35.000;6000
Universal actuating complexity;Crystal Williams;495;10;2024-06-22 18:50:33.000;4000
Advanced demand-driven moratorium;Jamie Brewer;401;327;2022-10-27 15:11:15.000;10000
Pre-emptive content-based matrices;Chelsey Harrison;171;818;2022-09-08 06:39:31.000;6000
Enterprise-wide responsive migration;Dr. Robin Sutton;151;289;2023-11-04 23:44:21.000;10000
Organized mobile groupware;Mary Castaneda;997;604;2022-07-27 01:33:03.000;6000
Universal scalable open architecture;Lisa Lara;167;442;2024-03-06 15:17:14.000;4000
Inverse next generation support;Melissa Jones;715;928;2024-05-04 21:44:05.000;10000
Object-based foreground model;Laura Shelton;750;262;2023-02-20 09:06:39.000;4000
Fundamental 4thgeneration application;Heather Rivera;472;521;2024-04-06 02:32:45.000;10000
Profit-focused radical implementation;Jonathan Rios;645;377;2024-05-05 10:45:35.000;6000
Profound directional workforce;Tiffany Gray;67;609;2023-09-25 23:25:03.000;10000
Total impactful help-desk;Dawn Flynn;284;903;2023-12-08 17:47:23.000;4000
Optional background policy;Christopher Combs;359;94;2023-11-13 03:03:08.000;4000
Organic bandwidth-monitored product;Rebecca Harper;854;526;2024-03-23 01:50:44.000;4000
